<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
Сбербанк;W;28/01/19;00:00;216.29;315677210
Сбербанк;W;04/02/19;00:00;210.43;254819520
Сбербанк;W;11/02/19;00:00;208;443654570
Сбербанк;W;18/02/19;00:00;205.25;324104170
Сбербанк;W;25/02/19;00:00;206.54;284351400
Сбербанк;W;04/03/19;00:00;203.95;177103990
Сбербанк;W;11/03/19;00:00;203.55;193146730
Сбербанк;W;18/03/19;00:00;207.7;260640190
Сбербанк;W;25/03/19;00:00;214.42;394953330
Сбербанк;W;01/04/19;00:00;227.5;323788770
Сбербанк;W;08/04/19;00:00;239.5;519300670
Сбербанк;W;15/04/19;00:00;232.6;272588190
Сбербанк;W;22/04/19;00:00;223.18;339713050
Сбербанк;W;29/04/19;00:00;232.52;196467050
Сбербанк;W;06/05/19;00:00;227;181713000
Сбербанк;W;13/05/19;00:00;226.94;253468100
Сбербанк;W;20/05/19;00:00;234.45;266139430
Сбербанк;W;27/05/19;00:00;233.24;243682380
Сбербанк;W;03/06/19;00:00;248.28;337168150
Сбербанк;W;10/06/19;00:00;238.8;256303920
Сбербанк;W;17/06/19;00:00;238.02;241969560
Сбербанк;W;24/06/19;00:00;238.55;187563350
Сбербанк;W;01/07/19;00:00;242.83;165261130
Сбербанк;W;08/07/19;00:00;237.02;177457950
Сбербанк;W;15/07/19;00:00;232.85;172586260
Сбербанк;W;22/07/19;00:00;230.55;160675280
Сбербанк;W;29/07/19;00:00;220.81;254907910
Сбербанк;W;05/08/19;00:00;220.67;210418190
Сбербанк;W;12/08/19;00:00;215.05;234320330
Сбербанк;W;19/08/19;00:00;219.5;218294470
Сбербанк;W;26/08/19;00:00;224.2;210987040
Сбербанк;W;02/09/19;00:00;229.02;218009050
Сбербанк;W;09/09/19;00:00;233;187207030
Сбербанк;W;16/09/19;00:00;232;201025950
Сбербанк;W;23/09/19;00:00;228.05;160386850
Сбербанк;W;30/09/19;00:00;222.76;173139040
Сбербанк;W;07/10/19;00:00;230.31;180103460
Сбербанк;W;14/10/19;00:00;235.55;193343400
Сбербанк;W;21/10/19;00:00;240;193585600
Сбербанк;W;28/10/19;00:00;236.4;223686730
Сбербанк;W;04/11/19;00:00;240.17;152360700
Сбербанк;W;11/11/19;00:00;240;159135800
Сбербанк;W;18/11/19;00:00;238.13;148422890
Сбербанк;W;25/11/19;00:00;233.98;143925930
Сбербанк;W;02/12/19;00:00;235.14;135714910
Сбербанк;W;09/12/19;00:00;241.21;181379200
Сбербанк;W;16/12/19;00:00;244.71;208140700
Сбербанк;W;23/12/19;00:00;252.06;97951950
Сбербанк;W;30/12/19;00:00;255;79009200
Сбербанк;W;06/01/20;00:00;258.19;120345950
Сбербанк;W;13/01/20;00:00;262.5;191503600
Сбербанк;W;20/01/20;00:00;265.49;180106560
Сбербанк;W;27/01/20;00:00;252.2;219329570
Сбербанк;W;03/02/20;00:00;254.3;247114000
Сбербанк;W;10/02/20;00:00;251.75;233946940
Сбербанк;W;17/02/20;00:00;250.8;147074510
Сбербанк;W;24/02/20;00:00;233.36;291687340
Сбербанк;W;02/03/20;00:00;219.99;401445320
Сбербанк;W;09/03/20;00:00;198.6;843856990
Сбербанк;W;16/03/20;00:00;195.69;871440840
Сбербанк;W;23/03/20;00:00;180.38;676631910
Сбербанк;W;30/03/20;00:00;185.64;503685070
Сбербанк;W;06/04/20;00:00;201.99;443007450
Сбербанк;W;13/04/20;00:00;191.8;400571730
Сбербанк;W;20/04/20;00:00;188.91;349982760
Сбербанк;W;27/04/20;00:00;197.25;279337290
Сбербанк;W;04/05/20;00:00;196.02;232964200
Сбербанк;W;11/05/20;00:00;183.85;270953250
Сбербанк;W;18/05/20;00:00;188.9;412768470
Сбербанк;W;25/05/20;00:00;200.5;442359310
Сбербанк;W;01/06/20;00:00;219.1;538715590
Сбербанк;W;08/06/20;00:00;208.35;319921470
Сбербанк;W;15/06/20;00:00;207;346455760
Сбербанк;W;22/06/20;00:00;203.15;230337910
Сбербанк;W;29/06/20;00:00;210.95;213863900
Сбербанк;W;06/07/20;00:00;212.28;238147670
Сбербанк;W;13/07/20;00:00;210.81;242066230
Сбербанк;W;20/07/20;00:00;215.97;265589800
Сбербанк;W;27/07/20;00:00;221.57;215253000
Сбербанк;W;03/08/20;00:00;227.28;227021290
Сбербанк;W;10/08/20;00:00;239.99;356385200
Сбербанк;W;17/08/20;00:00;231.22;407972150
Сбербанк;W;24/08/20;00:00;226.3;271085280
Сбербанк;W;31/08/20;00:00;227.64;99565440
